"","index","id_ensaio","Local","cidade","estado","fungicida","irrigacao","genotipo","tipo_de_grao","repeticao","data_semeadura","data_colheita","safra","FO1","FO2","FO3","FO4","FO5","FO6","FO7","FO8","FO9","FS1","FS2","FS3","FS4","FS5","FS6","FS7","FS8","FS9","FS10","FS11","ONI","ONI_C","ONI_sub","semeadura","ano_semeadura","colheita","ano_colheita","anom.1","anom.2","anom.3","anom.4","anom.5","anom.6","fo_grupo","fs_grupo","predito"
"11",11,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS Madrep<e9>rola","chc",1,2017-12-15,2018-03-15,"17/18",1.5,5,7,NA,NA,NA,NA,NA,NA,0.2,0.8,1.5,NA,NA,NA,NA,NA,NA,NA,NA,"-0,796666666666667","La Niña","LNW","D",2017,"M",2018,-0.34,-0.84,-0.97,-0.85,-0.7,-0.5,"Muito Pouco Tolerante","Muito Tolerante","Neutro"
"12",12,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS Sublime","chc",1,2017-12-15,2018-03-15,"17/18",0.4,2.5,2.5,2.5,NA,NA,NA,NA,NA,0.3,0.3,0.8,1.5,2,2,2,NA,NA,NA,NA,"-0,796666666666667","La Niña","LNW","D",2017,"M",2018,-0.34,-0.84,-0.97,-0.85,-0.7,-0.5,"Tolerante","Tolerante","Neutro"
"13",13,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRSMG Uai","chc",1,2017-12-15,2018-03-15,"17/18",0.3,2.5,3.5,NA,NA,NA,NA,NA,NA,0.2,0.2,0.5,0.8,NA,NA,NA,NA,NA,NA,NA,"-0,796666666666667","La Niña","LNW","D",2017,"M",2018,-0.34,-0.84,-0.97,-0.85,-0.7,-0.5,"Tolerante","Muito Tolerante","Neutro"
"14",14,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","C 10-6-91","chc",1,2017-12-15,2018-03-15,"17/18",2,4.5,6,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.2,1.5,2,3,NA,NA,NA,"-0,796666666666667","La Niña","LNW","D",2017,"M",2018,-0.34,-0.84,-0.97,-0.85,-0.7,-0.5,"Muito Pouco Tolerante","Muito Tolerante","Neutro"
"15",15,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IAC Mil<ea>nio","chc",1,2017-12-15,2018-03-15,"17/18",0.1,0.8,1.5,1.5,NA,NA,NA,NA,NA,0.1,0.5,1,1,1,NA,NA,NA,NA,NA,NA,"-0,796666666666667","La Niña","LNW","D",2017,"M",2018,-0.34,-0.84,-0.97,-0.85,-0.7,-0.5,"Muito Tolerante","Muito Tolerante","Neutro"
"16",16,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IAC Sintonia","chc",1,2017-12-15,2018-03-15,"17/18",2,5.3,8,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.5,1,1,1.5,NA,NA,NA,"-0,796666666666667","La Niña","LNW","D",2017,"M",2018,-0.34,-0.84,-0.97,-0.85,-0.7,-0.5,"Muito Pouco Tolerante","Muito Tolerante","Neutro"
"17",17,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","Imperador Vermelho","chc",1,2017-12-15,2018-03-15,"17/18",1.5,4.5,7.5,NA,NA,NA,NA,NA,NA,0.2,0.5,1,1.5,NA,NA,NA,NA,NA,NA,NA,"-0,796666666666667","La Niña","LNW","D",2017,"M",2018,-0.34,-0.84,-0.97,-0.85,-0.7,-0.5,"Muito Pouco Tolerante","Muito Tolerante","Neutro"
"18",18,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR 139","chc",1,2017-12-15,2018-03-15,"17/18",0.2,1.5,2.5,NA,NA,NA,NA,NA,NA,0.3,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,"-0,796666666666667","La Niña","LNW","D",2017,"M",2018,-0.34,-0.84,-0.97,-0.85,-0.7,-0.5,"Tolerante","Muito Tolerante","Neutro"
"19",19,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Bem-te-vi","chc",1,2017-12-15,2018-03-15,"17/18",0.1,1,2,NA,NA,NA,NA,NA,NA,0.2,0.2,0.8,0.8,0.8,NA,NA,NA,NA,NA,NA,"-0,796666666666667","La Niña","LNW","D",2017,"M",2018,-0.34,-0.84,-0.97,-0.85,-0.7,-0.5,"Tolerante","Muito Tolerante","Neutro"
"20",20,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Campos Gerais","chc",1,2017-12-15,2018-03-15,"17/18",0.4,2,3,NA,NA,NA,NA,NA,NA,0.5,1,1,1,NA,NA,NA,NA,NA,NA,NA,"-0,796666666666667","La Niña","LNW","D",2017,"M",2018,-0.34,-0.84,-0.97,-0.85,-0.7,-0.5,"Tolerante","Muito Tolerante","Neutro"
"21",21,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Celeiro","chc",1,2017-12-15,2018-03-15,"17/18",0.5,1.5,2.5,NA,NA,NA,NA,NA,NA,0.2,0.8,1.5,2.5,2.5,2.5,NA,NA,NA,NA,NA,"-0,796666666666667","La Niña","LNW","D",2017,"M",2018,-0.34,-0.84,-0.97,-0.85,-0.7,-0.5,"Tolerante","Tolerante","Neutro"
"22",22,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Curi<f3>","chc",1,2017-12-15,2018-03-15,"17/18",2,6.3,8,NA,NA,NA,NA,NA,NA,0.2,1.5,2,3.5,3.5,3.5,NA,NA,NA,NA,NA,"-0,796666666666667","La Niña","LNW","D",2017,"M",2018,-0.34,-0.84,-0.97,-0.85,-0.7,-0.5,"Muito Pouco Tolerante","Tolerante","Neutro"
"23",23,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Gar<e7>a Radiante","b",1,2017-12-15,2018-03-15,"17/18",2,8,8.5,NA,NA,NA,NA,NA,NA,0.2,0.8,2.5,4,7.5,7.5,7.5,NA,NA,NA,NA,"-0,796666666666667","La Niña","LNW","D",2017,"M",2018,-0.34,-0.84,-0.97,-0.85,-0.7,-0.5,"Muito Pouco Tolerante","Pouco Tolerante","Neutro"
"24",24,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Nhambu","p",1,2017-12-15,2018-03-15,"17/18",0.8,1.9,4.5,NA,NA,NA,NA,NA,NA,0.2,0.8,1.5,2,2.5,2.5,NA,NA,NA,NA,NA,"-0,796666666666667","La Niña","LNW","D",2017,"M",2018,-0.34,-0.84,-0.97,-0.85,-0.7,-0.5,"Tolerante","Tolerante","Neutro"
"25",25,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Urutau","p",1,2017-12-15,2018-03-15,"17/18",0.5,2.8,4.5,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.1,0.5,0.5,1,NA,NA,NA,"-0,796666666666667","La Niña","LNW","D",2017,"M",2018,-0.34,-0.84,-0.97,-0.85,-0.7,-0.5,"Muito Pouco Tolerante","Muito Tolerante","Neutro"
"26",26,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","Linhagem 110","chc",1,2017-12-15,2018-03-15,"17/18",0.2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0,796666666666667","La Niña","LNW","D",2017,"M",2018,-0.34,-0.84,-0.97,-0.85,-0.7,-0.5,"Tolerante","Tolerante","Neutro"
"27",27,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","SCS 205 Riqueza","chc",1,2017-12-15,2018-03-15,"17/18",1,3.5,6,NA,NA,NA,NA,NA,NA,0.2,0.8,1,1.5,NA,NA,NA,NA,NA,NA,NA,"-0,796666666666667","La Niña","LNW","D",2017,"M",2018,-0.34,-0.84,-0.97,-0.85,-0.7,-0.5,"Muito Pouco Tolerante","Muito Tolerante","Neutro"
"28",28,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","TAA Dama","chc",1,2017-12-15,2018-03-15,"17/18",0.1,2,5.5,NA,NA,NA,NA,NA,NA,0.2,0.8,1.5,1.5,2,NA,NA,NA,NA,NA,NA,"-0,796666666666667","La Niña","LNW","D",2017,"M",2018,-0.34,-0.84,-0.97,-0.85,-0.7,-0.5,"Muito Pouco Tolerante","Tolerante","Neutro"
"29",29,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","UEM Flor Diniz","chc",1,2017-12-15,2018-03-15,"17/18",0.2,2,4.5,NA,NA,NA,NA,NA,NA,0.2,0.8,0.8,0.8,NA,NA,NA,NA,NA,NA,NA,"-0,796666666666667","La Niña","LNW","D",2017,"M",2018,-0.34,-0.84,-0.97,-0.85,-0.7,-0.5,"Tolerante","Muito Tolerante","Neutro"
"30",30,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","GEN 107-14A-336","chc",2,2017-12-15,2018-03-15,"17/18",0.1,1.5,2.5,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.3,1,1.5,1.5,NA,NA,NA,"-0,796666666666667","La Niña","LNW","D",2017,"M",2018,-0.34,-0.84,-0.97,-0.85,-0.7,-0.5,"Tolerante","Muito Tolerante","Neutro"
"31",31,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Campos Gerais","chc",2,2017-12-15,2018-03-15,"17/18",0.4,3,5,NA,NA,NA,NA,NA,NA,0.1,0.5,0.8,0.8,0.8,NA,NA,NA,NA,NA,NA,"-0,796666666666667","La Niña","LNW","D",2017,"M",2018,-0.34,-0.84,-0.97,-0.85,-0.7,-0.5,"Muito Pouco Tolerante","Muito Tolerante","Neutro"
"32",32,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","TAA 03","chc",2,2017-12-15,2018-03-15,"17/18",0.2,1.5,3,NA,NA,NA,NA,NA,NA,0.2,0.8,1.5,3,3,3,NA,NA,NA,NA,NA,"-0,796666666666667","La Niña","LNW","D",2017,"M",2018,-0.34,-0.84,-0.97,-0.85,-0.7,-0.5,"Tolerante","Tolerante","Neutro"
"33",33,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IAC Sintonia","chc",2,2017-12-15,2018-03-15,"17/18",0.8,5.5,7.5,NA,NA,NA,NA,NA,NA,0.2,0.5,2.5,3,NA,NA,NA,NA,NA,NA,NA,"-0,796666666666667","La Niña","LNW","D",2017,"M",2018,-0.34,-0.84,-0.97,-0.85,-0.7,-0.5,"Muito Pouco Tolerante","Tolerante","Neutro"
"34",34,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Curi<f3>","chc",2,2017-12-15,2018-03-15,"17/18",1,5.5,7,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,5,5,5,NA,NA,NA,NA,"-0,796666666666667","La Niña","LNW","D",2017,"M",2018,-0.34,-0.84,-0.97,-0.85,-0.7,-0.5,"Muito Pouco Tolerante","Pouco Tolerante","Neutro"
"35",35,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS Estilo","chc",2,2017-12-15,2018-03-15,"17/18",0.2,1.5,3,NA,NA,NA,NA,NA,NA,0.1,0.2,0.2,0.2,0.2,4,4,4,NA,NA,NA,"-0,796666666666667","La Niña","LNW","D",2017,"M",2018,-0.34,-0.84,-0.97,-0.85,-0.7,-0.5,"Tolerante","Muito Tolerante","Neutro"
"36",36,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS FC 402","chc",2,2017-12-15,2018-03-15,"17/18",0.1,0.8,2.5,NA,NA,NA,NA,NA,NA,0.1,0.5,1,1,1,NA,NA,NA,NA,NA,NA,"-0,796666666666667","La Niña","LNW","D",2017,"M",2018,-0.34,-0.84,-0.97,-0.85,-0.7,-0.5,"Tolerante","Muito Tolerante","Neutro"
"37",37,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","Imperador Vermelho","chc",2,2017-12-15,2018-03-15,"17/18",1,4.5,6,NA,NA,NA,NA,NA,NA,0.2,0.8,1.5,2.5,3,3,NA,NA,NA,NA,NA,"-0,796666666666667","La Niña","LNW","D",2017,"M",2018,-0.34,-0.84,-0.97,-0.85,-0.7,-0.5,"Muito Pouco Tolerante","Tolerante","Neutro"
"38",38,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS Sublime","chc",2,2017-12-15,2018-03-15,"17/18",0.4,2,2.5,NA,NA,NA,NA,NA,NA,0.1,0.8,2,3,3,3,NA,NA,NA,NA,NA,"-0,796666666666667","La Niña","LNW","D",2017,"M",2018,-0.34,-0.84,-0.97,-0.85,-0.7,-0.5,"Tolerante","Tolerante","Neutro"
"39",39,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","Linhagem 110","chc",2,2017-12-15,2018-03-15,"17/18",0.1,0.8,0.8,NA,NA,NA,NA,NA,NA,0.2,0.8,0.8,0.8,NA,NA,NA,NA,NA,NA,NA,"-0,796666666666667","La Niña","LNW","D",2017,"M",2018,-0.34,-0.84,-0.97,-0.85,-0.7,-0.5,"Muito Tolerante","Muito Tolerante","Neutro"
"40",40,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS FS 305","calima",2,2017-12-15,2018-03-15,"17/18",0.8,3,3,NA,NA,NA,NA,NA,NA,0.8,1.5,2,7,7,7,NA,NA,NA,NA,NA,"-0,796666666666667","La Niña","LNW","D",2017,"M",2018,-0.34,-0.84,-0.97,-0.85,-0.7,-0.5,"Tolerante","Pouco Tolerante","Neutro"
"41",41,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","UEM Flor Diniz","chc",2,2017-12-15,2018-03-15,"17/18",0.4,2,3.5,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,0.2,1,1,1,NA,NA,NA,NA,"-0,796666666666667","La Niña","LNW","D",2017,"M",2018,-0.34,-0.84,-0.97,-0.85,-0.7,-0.5,"Tolerante","Muito Tolerante","Neutro"
"42",42,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","TAA Dama","chc",2,2017-12-15,2018-03-15,"17/18",0.2,1,3,NA,NA,NA,NA,NA,NA,0.1,0.8,1.5,3,5,5,5,NA,NA,NA,NA,"-0,796666666666667","La Niña","LNW","D",2017,"M",2018,-0.34,-0.84,-0.97,-0.85,-0.7,-0.5,"Tolerante","Pouco Tolerante","Neutro"
"43",43,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Tuiui<fa>","p",2,2017-12-15,2018-03-15,"17/18",0.8,2.5,2.5,2.5,NA,NA,NA,NA,NA,0.2,0.2,0.2,0.2,3,3,3,NA,NA,NA,NA,"-0,796666666666667","La Niña","LNW","D",2017,"M",2018,-0.34,-0.84,-0.97,-0.85,-0.7,-0.5,"Tolerante","Muito Tolerante","Neutro"
"44",44,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS Campeiro","p",2,2017-12-15,2018-03-15,"17/18",1.5,5,6,NA,NA,NA,NA,NA,NA,0.1,1,1,1.5,NA,NA,NA,NA,NA,NA,NA,"-0,796666666666667","La Niña","LNW","D",2017,"M",2018,-0.34,-0.84,-0.97,-0.85,-0.7,-0.5,"Muito Pouco Tolerante","Muito Tolerante","Neutro"
"45",45,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Gar<e7>a Radiante","b",2,2017-12-15,2018-03-15,"17/18",2.5,8,8.5,NA,NA,NA,NA,NA,NA,0.2,0.8,2.5,4,7.5,7.5,7.5,NA,NA,NA,NA,"-0,796666666666667","La Niña","LNW","D",2017,"M",2018,-0.34,-0.84,-0.97,-0.85,-0.7,-0.5,"Muito Pouco Tolerante","Pouco Tolerante","Neutro"
"46",46,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Sabi<e1>","chc",2,2017-12-15,2018-03-15,"17/18",0.5,1.5,2.5,NA,NA,NA,NA,NA,NA,0.2,0.5,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,"-0,796666666666667","La Niña","LNW","D",2017,"M",2018,-0.34,-0.84,-0.97,-0.85,-0.7,-0.5,"Tolerante","Muito Tolerante","Neutro"
"47",47,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","SCS 205 Riqueza","chc",2,2017-12-15,2018-03-15,"17/18",0.8,3.5,3.5,NA,NA,NA,NA,NA,NA,0.2,0.8,0.8,0.8,NA,NA,NA,NA,NA,NA,NA,"-0,796666666666667","La Niña","LNW","D",2017,"M",2018,-0.34,-0.84,-0.97,-0.85,-0.7,-0.5,"Tolerante","Muito Tolerante","Neutro"
"48",48,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR 139","chc",2,2017-12-15,2018-03-15,"17/18",1,3.5,3.5,NA,NA,NA,NA,NA,NA,0.1,0.5,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,"-0,796666666666667","La Niña","LNW","D",2017,"M",2018,-0.34,-0.84,-0.97,-0.85,-0.7,-0.5,"Tolerante","Muito Tolerante","Neutro"
"49",49,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","TAA 02","p",2,2017-12-15,2018-03-15,"17/18",0.1,1,2,2.5,NA,NA,NA,NA,NA,0.1,0.5,1,2,2,2,NA,NA,NA,NA,NA,"-0,796666666666667","La Niña","LNW","D",2017,"M",2018,-0.34,-0.84,-0.97,-0.85,-0.7,-0.5,"Tolerante","Tolerante","Neutro"
"50",50,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Celeiro","chc",2,2017-12-15,2018-03-15,"17/18",2,4,6,NA,NA,NA,NA,NA,NA,0.1,5.5,5.5,5.5,NA,NA,NA,NA,NA,NA,NA,"-0,796666666666667","La Niña","LNW","D",2017,"M",2018,-0.34,-0.84,-0.97,-0.85,-0.7,-0.5,"Muito Pouco Tolerante","Tolerante","Neutro"
"51",51,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","SCS 204 Predileto","p",2,2017-12-15,2018-03-15,"17/18",0.5,2.5,3,NA,NA,NA,NA,NA,NA,0.2,0.8,1.5,1.5,1.5,NA,NA,NA,NA,NA,NA,"-0,796666666666667","La Niña","LNW","D",2017,"M",2018,-0.34,-0.84,-0.97,-0.85,-0.7,-0.5,"Tolerante","Tolerante","Neutro"
"52",52,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Nhambu","p",2,2017-12-15,2018-03-15,"17/18",0.2,1,2,2,NA,NA,NA,NA,NA,0.1,0.5,1,1,NA,NA,NA,NA,NA,NA,NA,"-0,796666666666667","La Niña","LNW","D",2017,"M",2018,-0.34,-0.84,-0.97,-0.85,-0.7,-0.5,"Tolerante","Muito Tolerante","Neutro"
"53",53,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS FC 104","chc",2,2017-12-15,2018-03-15,"17/18",2,7.5,8.5,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.1,6.5,7,7,NA,NA,NA,"-0,796666666666667","La Niña","LNW","D",2017,"M",2018,-0.34,-0.84,-0.97,-0.85,-0.7,-0.5,"Muito Pouco Tolerante","Pouco Tolerante","Neutro"
"54",54,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS Madrep<e9>rola","chc",2,2017-12-15,2018-03-15,"17/18",1.5,4.5,5,NA,NA,NA,NA,NA,NA,0.2,0.5,0.5,1,NA,NA,NA,NA,NA,NA,NA,"-0,796666666666667","La Niña","LNW","D",2017,"M",2018,-0.34,-0.84,-0.97,-0.85,-0.7,-0.5,"Muito Pouco Tolerante","Muito Tolerante","Neutro"
"55",55,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS Esteio","p",2,2017-12-15,2018-03-15,"17/18",0.2,1.5,1.5,1.5,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.1,5,5,5,NA,NA,NA,"-0,796666666666667","La Niña","LNW","D",2017,"M",2018,-0.34,-0.84,-0.97,-0.85,-0.7,-0.5,"Tolerante","Pouco Tolerante","Neutro"
"56",56,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Tangar<e1>","chc",2,2017-12-15,2018-03-15,"17/18",0.1,1,1,1,NA,NA,NA,NA,NA,0.3,0.3,0.3,0.3,6.5,6.5,6.5,NA,NA,NA,NA,"-0,796666666666667","La Niña","LNW","D",2017,"M",2018,-0.34,-0.84,-0.97,-0.85,-0.7,-0.5,"Muito Tolerante","Pouco Tolerante","Neutro"
"57",57,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","C 10-6-91","chc",2,2017-12-15,2018-03-15,"17/18",1.5,6,7,NA,NA,NA,NA,NA,NA,0.2,0.8,2,3.5,5,5,5,NA,NA,NA,NA,"-0,796666666666667","La Niña","LNW","D",2017,"M",2018,-0.34,-0.84,-0.97,-0.85,-0.7,-0.5,"Muito Pouco Tolerante","Pouco Tolerante","Neutro"
"58",58,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","ANFc 9","chc",2,2017-12-15,2018-03-15,"17/18",1,6,7,NA,NA,NA,NA,NA,NA,0.2,0.8,2.5,4,5.5,5.5,5.5,NA,NA,NA,NA,"-0,796666666666667","La Niña","LNW","D",2017,"M",2018,-0.34,-0.84,-0.97,-0.85,-0.7,-0.5,"Muito Pouco Tolerante","Pouco Tolerante","Neutro"
